;timepoints;ori_vec;Max_Vec_length;av_vect;av_vect_length;ori_vec_deg;deg_variance;DGI;y_spread;x_spread
0;37.0;[-1547799   660576 -1211773];4777549.486674261;[-12.88232944   5.49797335 -10.0855854 ];17.25981331308787;288.574766757726;11394.094713872993;0.4340612934598338;154;106
1;37.25;[-1484138  1676515  -397093];4644262.519936435;[-12.75317511  14.40626772  -3.41221407];19.5403999418575;317.4981497946046;14227.052566543854;0.48963522046226804;150;92
2;37.5;[-1609754  2962254  -220589];5651675.498001826;[-12.16239658  22.38112652  -1.66664652];25.526778594739017;331.25521167988717;16071.624021679983;0.597804453228286;199;109
3;37.75;[-1161308  1213007  -138208];5479494.358661594;[-8.49201114  8.8700577  -1.01063962];12.321264920142026;316.04608470635276;13130.83560018432;0.30750464027044794;221;96
4;38.0;[-1201371  3382783   202221];5341058.576098274;[-10.04222114  28.27657316   1.69035877];30.054419106423794;19.80591864131525;16801.90213551793;0.6731755915633933;201;92
5;38.25;[-1210517  3313812  -413613];5642056.900248739;[-9.42029245 25.78821955 -3.21875316];27.642983723565703;338.89194184599546;16798.552596618592;0.6295844076484437;238;125
6;38.5;[-1145642  2966187  -616015];5271555.9407285135;[-9.47931853 24.54294745 -5.09705685];26.799136888388468;336.3211800704237;16271.02720283285;0.614403664370934;190;103
7;38.75;[-1125305  1841044  -643672];4614040.235566404;[-9.8395065  16.09782628 -5.62817621];19.688378967104057;324.8483324041946;14615.348101158193;0.4880063965622124;220;88
8;39.0;[-1233816  1584382  -876650];5579997.998132338;[-8.97993406 11.53141626 -6.38041588];15.947491446584078;316.3099016183867;12896.001316843154;0.392677109027584;230;100
9;39.25;[-1176657  1205124  -445219];5640106.192853612;[-8.65653623  8.86596482 -3.27542725];12.816761499740242;313.76861127566207;13055.874898532647;0.3088849537234961;219;80
10;39.5;[-1329044  2823162  -579472];5773896.276862506;[-10.13292061  21.52440131  -4.4180206 ];24.197000594656764;332.8165441664836;15305.768781666327;0.5496639778088191;223;94
11;39.75;[-1346326  4028429 -1169304];6812221.972413138;[-9.48744944 28.38801037 -8.23998985];31.044939403305392;336.123023025271;15900.325705008345;0.6466998857062901;231;96
12;40.0;[-1565188  5149928 -1747016];7482143.156673963;[-11.03947638  36.32311805 -12.32193312];39.913268210732824;335.5124293920488;15356.194444768595;0.7563264911789633;222;109
13;40.25;[-1570283  5579014 -1416886];7784642.772364778;[-10.90845496  38.7563407   -9.84283541];41.44791602618823;339.23804463422283;16307.512441288558;0.7664409446078357;214;107
14;40.5;[-1425125  5407543 -1167935];7444374.264978273;[-10.37828253  39.37970987  -8.50533069];41.6030160910819;341.18396160574963;16410.86648080009;0.7674040503942687;240;93
15;40.75;[-1274280  4059210  -853970];5907527.510332245;[-10.92433517  34.79939304  -7.32103973];37.20129671361399;339.29852769373576;16603.467470496234;0.7345513751508821;213;78
16;41.0;[-1328404  4444864  -715147];6178320.42889684;[-10.84933968  36.30208835  -5.84074779];38.336198625290706;341.2517986558036;17545.545785612005;0.7597408632166615;197;97
17;41.25;[-1332057  3326723  -653012];5669591.768572216;[-10.98748701  27.44051174  -5.38637676];30.045292639230002;335.96612997586135;16053.393763140395;0.6424644236319876;200;90
18;41.5;[-1363905  3100246  -643465];5360889.347275673;[-11.52511365  26.19734329  -5.43733417];29.132347025154;334.06001826202686;15667.784328260099;0.6430985585260747;204;95
19;41.75;[-1315148  3032418  -678222];5474905.942475067;[-11.01713118  25.40288005  -5.68153603];28.265939675346058;333.9890051727253;15893.355709133928;0.6163010017556024;227;79
20;42.0;[-1314842  2807988  -533115];5471416.091300359;[-10.40321866  22.21720416  -4.21808241];24.892234504697345;333.1936125314243;15665.132984336404;0.575002829629793;176;91
21;42.25;[-1247192  3288009  -178923];5558324.331655136;[-9.37759498 24.72242983 -1.34531606];26.47541689254814;339.0332314735088;16660.710965323855;0.6334914643978162;173;88
22;42.5;[-1177319  3377538  -328921];5458690.87054608;[-9.25790877 26.55944452 -2.58648727];28.245404658006535;340.1037302578492;17310.54507094604;0.6580222163404356;171;85
23;42.75;[-1131952  5137106  -469691];7280872.860481282;[-7.66640253 34.79221949 -3.18108919];35.76858388684807;346.5820673957704;18674.157319304028;0.7253618186553393;251;73
24;43.0;[-1254326  5783026  -565270];8118084.78185698;[-8.14936622 37.57236693 -3.67256378];38.621013073661565;346.6177887104949;18535.10439100803;0.732245428446856;236;87
25;43.25;[-1341225  5128732  -553727];8037582.3567364365;[-8.63851837 33.03297029 -3.56642686];34.32958674625934;344.20260048733763;17240.976543201512;0.6631404483642731;238;98
26;43.5;[-1340898  5438286  -263412];7797870.647938099;[-8.77809564 35.60136166 -1.72440837];36.70811217169605;345.8948171891811;18307.43818728856;0.7190870338776544;231;101
27;43.75;[-1352568  4836985  -439461];7635882.328060228;[-8.68015633 31.0415343  -2.8202576 ];32.35546041814171;343.61561786889587;17066.821739881187;0.6602674965548958;227;96
28;44.0;[-1463701  3936489  -542713];7271679.427431856;[-9.55805221 25.70550092 -3.54394729];27.653005299750408;338.3684287548244;16525.17903294584;0.5823587202727883;211;103
29;44.25;[-1452678  2404520  -739283];6782964.971279593;[-9.54265257 15.79530973 -4.85635551];19.082405935589275;325.8674853774922;14661.794907636373;0.42826620333065774;214;107
30;44.5;[-1367901  3446393   -38748];6299042.461670388;[-9.30165239 23.43528492 -0.26348429];25.215129194026535;338.3435953653993;16306.762970006386;0.5886826326124199;154;101
31;44.75;[-1367459  3162232  -367776];6319456.961709157;[-9.29447548 21.49335943 -2.49973492];23.549956452713907;335.8770965498803;15674.463794318546;0.5482766816921079;203;90
32;45.0;[-1480323  3022868  -193933];7067490.638510147;[-9.31407377 19.01964337 -1.22021091];21.21291396422559;333.7155727266771;15259.357072668507;0.47703682119074503;193;99
33;45.25;[-1469139  2484599   241389];7534990.3071104335;[-8.68906842 14.69490002  1.42766991];17.131206552505283;30.931162782507936;14322.385592044444;0.38441021881046317;207;103
34;45.5;[-1426256  2828078   712048];7887296.881868713;[-8.12019836 16.10128499  4.05395034];18.483060167503144;29.408916992866544;14780.293503131456;0.41160110816465056;198;93
35;45.75;[-1475370  3260665   628928];7788536.324367493;[-8.54187654 18.87811049  3.64127326];21.03819339830389;26.19126791181301;15168.218657238329;0.46655221068599706;214;103
36;46.0;[-1472111  3440844   506695];7870705.029030201;[-8.46196427 19.77860296  2.91257588];21.70900902011853;24.345233569367906;15232.28806254661;0.4798392097381558;221;97
37;46.25;[-1480663  4027599   399507];8297038.4475364955;[-8.47085443 23.0418433   2.28557453];24.65574514102746;20.845631637614527;15850.771409945814;0.5194264193394817;235;87
38;46.5;[-1486982  4352582   210136];8180846.977726926;[-8.71256394 25.50276263  1.23123436];26.978057935302502;19.03579558046119;16382.827606877025;0.5628234018325756;219;100
39;46.75;[-1522562  5255084   230622];8185596.891412398;[-9.36511705 32.3234632   1.41853141];33.68269469545499;16.332486849800556;17762.970222685508;0.6689878833323302;230;93
40;47.0;[-1553790  4952219    60992];8521365.64602289;[-9.02804651 28.77407078  0.35438419];30.159216853396778;17.432181748531832;17103.81707279235;0.6091291643388326;211;93
41;47.25;[-1676370  4895408    31277];8784038.169952191;[-9.26667883 27.06095532  0.17289376];28.604134867299237;18.906169785992756;16737.912782988;0.5890882655314323;205;100
42;47.5;[-1573189  4916330   115251];8960035.770136163;[-9.08706476 28.39773804  0.66571359];29.823639050865207;17.788843459224218;16796.571311455962;0.5762463252938024;212;115
43;47.75;[-1515582  4898022   258831];9434963.361057894;[-8.17232399 26.41112303  1.39566898];27.681802526901194;17.427452396446725;16450.11268684467;0.5441116332481225;212;125
44;48.0;[-1513026  4565991   270659];9498043.19663698;[-7.94907009 23.9886046   1.42197646];25.31131926717485;18.604713332130643;15920.716250942594;0.5072367444085648;217;97
45;48.25;[-1646478  4845154   104918];9489106.954767223;[-8.87780654 26.12506201  0.56571767];27.598085989489928;18.804159077184252;16322.818948810815;0.5393912253291026;209;92
46;48.5;[-1716060  5065175   233594];10629936.272087943;[-8.44243504 24.91894857  1.14920351];26.335325626650686;18.876594968631313;16032.203076978705;0.5035849850655145;217;90
47;48.75;[-1704091  5650872   261244];10476033.791838296;[-8.59401981 28.4983055   1.31749778];29.79507330044214;16.96619203938327;16752.360002009227;0.5639544136637761;228;100
48;49.0;[-1772593  5546457   438573];10840669.320450455;[-8.55924036 26.78192828  2.11771778];28.196045932387264;18.222934800650144;16175.493579974682;0.5386490770864107;230;103
49;49.25;[-1768888  5673422   820471];10798457.170303013;[-8.50971054 27.29351941  3.94709598];28.86054299687771;18.967411160477532;16105.525824550914;0.5555566315186523;230;104
50;49.5;[-1836272  5947359   869409];10606849.22489158;[-9.01928348 29.21185791  4.27030757];30.869331770113252;18.860795177527386;16360.59614759826;0.5925238116570548;226;107
51;49.75;[-1779201  5994435   762648];10980975.481146954;[-8.83394653 29.7630893   3.78663886];31.276488447893843;17.896674390776155;16418.704331761004;0.5736504162734101;234;102
52;50.0;[-1753841  5844355  1233627];11859853.67715629;[-8.15231902 27.16611507  5.73422611];28.936818460466455;20.14767961558217;15527.854574057632;0.5249047477427788;228;102
53;50.25;[-1598843  5880675  1009618];11158738.757934319;[-7.5362023  27.71876694  4.75886969];29.116511236437617;17.825211403452695;15771.053650643062;0.5535763113886121;219;96
54;50.5;[-1765308  6380664   561652];12092071.691137686;[-7.96270586 28.78101192  2.53342174];29.969477097504672;16.18963362631318;16132.232313592718;0.5494627664964148;231;118
55;50.75;[-1703146  5913171  1045960];11993808.97529313;[-7.48833099 25.99881727  4.59883925];27.4438139285152;18.67553521905002;15278.316385374736;0.5204202478761711;230;124
56;51.0;[-1926310  6319493   540313];11870291.78204648;[-8.87450993 29.11390346  2.48922192];30.538050482232656;17.56696716845414;16034.431201376296;0.5584209636488906;227;114
57;51.25;[-1898493  7009586   982762];11882967.238721488;[-8.79823988 32.48472294  4.55444177];33.96187846910613;16.96061964672445;16389.516237070322;0.6167086006988487;210;119
58;51.5;[-1827380  6419683  1081816];11296841.172333457;[-8.59171286 30.18314362  5.08632711];31.79167205815219;18.30390149626929;16107.554582359193;0.59855692565462;211;101
59;51.75;[-1828041  6910031  1255662];11869586.014269192;[-8.2535657  31.19864099  5.66928686];32.76610077566697;17.793859185748065;16268.348139369167;0.6114113686504526;213;111
60;52.0;[-1923956  7852229  1142333];12954480.88561669;[-8.43252293 34.41560052  5.00674091];35.78559007530049;15.90514059515937;16726.031833175854;0.630268747785628;219;126
61;52.25;[-1935952  8098517   961274];12967829.290285248;[-8.67750784 36.29994173  4.30871358];37.57059920632806;14.943746235891592;17286.260881063543;0.6463688328478462;222;105
62;52.5;[-1849726  7882581  1127181];12828318.144528197;[-8.28270137 35.29661389  5.04729004];36.60504378659953;15.365425597474976;17046.80224392692;0.6372452496499266;208;103
63;52.75;[-1944540  8506192  1107206];13384492.99927546;[-8.39053479 36.7035391   4.77750546];37.95227812356224;14.738476430614936;17161.796185683153;0.6571479595621718;214;116
64;53.0;[-1910418  8613535  1336915];13679920.834245516;[-8.1576255  36.78042854  5.70872547];38.10428222856701;15.147334155479394;17075.14237979771;0.6523112052085065;219;115
65;53.25;[-1857153  8616584  1293965];14051476.076116882;[-7.71640296 35.80159218  5.37637737];37.01624388177068;14.718451666526327;16827.64433387659;0.6340203309765742;218;134
66;53.5;[-2050211  9000151  1550668];14682895.297788594;[-8.16683729 35.85131911  6.17695118];37.28497068343602;15.940210262860326;16952.259284577227;0.6374802881520371;216;136
67;53.75;[-1967047  8480054  1381523];14291197.1311382;[-7.88010272 33.97158103  5.5344601 ];35.309978549356494;15.825698887054294;16699.539203968423;0.6167536130505729;215;133
68;54.0;[-1858530  8569061  1831647];14036707.732773222;[-7.61053213 35.08962142  7.50044839];36.680491507163005;16.93634515591567;16415.00405457527;0.6381524499218878;216;129
69;54.25;[-1835229  8725386  1665702];14097013.108331248;[-7.56842279 35.98319896  6.86929913];37.40666921187854;15.85711718708479;16566.97434671979;0.6434381605619508;238;122
70;54.5;[-1775457  9414708  1962694];14594005.968052007;[-7.16181537 37.97692674  7.91708954];39.44894004452389;15.701300172732706;16672.517842491026;0.6701127128552978;216;120
71;54.75;[-1852558  9766197  2098059];15069900.405186672;[-7.42219658 39.12786211  8.40578613];40.703019987380074;15.991785576492111;16605.510997677426;0.6741485614791135;218;121
72;55.0;[-1761144  8854435  2132003];14296851.260453813;[-7.1544977  35.97038906  8.66108085];37.68381678847616;17.344130669470065;16197.998488024854;0.6488289265828213;217;118
73;55.25;[-1874206  9727600  2397583];15159563.286824984;[-7.4331074  38.57969486  9.50882237];40.42352834402316;17.371852621831774;16140.97352119406;0.6723485046634051;221;120
74;55.5;[-1834208 10247041  2382804];15501397.418955244;[-7.26698177 40.59793663  9.44047416];42.30985742515573;16.354377525799098;16528.06484671942;0.6889143381759274;223;130
75;55.75;[-1853086 10134388  2126439];15710487.664865267;[-7.22242316 39.49888921  8.2878195 ];41.0001658182269;15.552827658275278;16531.63574048174;0.6695894340804961;223;136
76;56.0;[-1901990  9474922  2182001];15481728.129620258;[-7.33922687 36.56097147  8.41970797];38.229051363037115;16.98796044363153;16060.271803074731;0.6399293085364061;226;138
77;56.25;[-1965063  9628727  1870544];15476255.291878708;[-7.65783997 37.52309749  7.28949994];38.98412712169843;15.735806629737443;16623.0169993862;0.6463862674644739;227;149
78;56.5;[-1931500  9828943  1969374];15984089.217343843;[-7.34273843 37.36544522  7.4867192 ];38.809061681608455;15.676621957108518;16620.43858857205;0.6386779207418519;231;128
79;56.75;[-1955494  9759490  2395602];16240505.534681637;[-7.22870197 36.07704478  8.85561035];37.844803169483754;17.58130637893651;16131.825564503251;0.6303806517561767;234;144
80;57.0;[-1936346  9044307  2714206];16110452.92237512;[-7.21026684 33.67779664 10.10674203];35.893288637172276;20.23604775356929;15242.628454878744;0.5983249684606676;227;126
81;57.25;[-1991012  8931662  2738874];16451957.350524599;[-7.22525158 32.41241386  9.93919358];34.663473591574345;20.762223621913765;14992.976925599918;0.580597832209334;234;131
82;57.5;[-1999136  9372008  2872876];17184216.162448615;[-7.12176354 33.38703564 10.23439303];35.639254557916296;20.478243092456456;15265.413153997633;0.5821751643409289;246;152
83;57.75;[-1977142  9307008  3011347];16881001.869955845;[-7.18299891 33.8125579  10.94028766];36.257060544984924;21.15959672849396;15082.52303580177;0.5911891227232499;260;137
84;58.0;[-1913280  8610643  3292820];17430207.790887117;[-6.63002724 29.8381824  11.41050253];32.626277109524786;23.858876897596502;14274.12701892647;0.5401671574239593;251;138
85;58.25;[-1895990  8642379  3838319];18248283.841788426;[-6.45575266 29.42687528 13.06928734];32.839366660853486;26.351818690370834;13909.288239062409;0.5285205818938444;247;152
